RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
1350744.5	18:02:08:422	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Visual Intake	79	3.0	334.1	434.1	375.1	357.5	-	0.3	0.0	1.0	00:00:25:412	-	-	-	-	-	-	-	-
1350778.2	18:02:08:456	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Saccade	85	3.0	339.6	431.9	378.6	358.3	-	0.3	0.0	1.0	00:00:25:453	-	-	-	-	-	-	-	-
1350810.9	18:02:08:488	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Saccade	85	2.9	425.1	363.9	444.0	305.0	-	0.2	0.0	1.0	00:00:25:495	-	-	-	-	-	-	-	-
1350844.5	18:02:08:522	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Visual Intake	80	2.9	430.9	367.5	450.4	308.1	-	0.2	0.0	1.0	00:00:25:537	-	-	-	-	-	-	-	-
1350877.7	18:02:08:555	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Visual Intake	80	2.9	429.8	365.8	451.1	305.3	-	0.2	0.0	1.0	00:00:25:537	-	-	-	-	-	-	-	-
1350911.3	18:02:08:589	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Visual Intake	80	2.9	429.4	365.5	451.0	304.4	-	0.2	0.0	1.0	00:00:25:578	-	-	-	-	-	-	-	-
1350944.3	18:02:08:622	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Saccade	86	2.9	432.7	364.8	456.2	305.0	-	0.2	0.0	1.0	00:00:25:620	-	-	-	-	-	-	-	-
1350977.3	18:02:08:655	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Saccade	86	2.9	455.0	367.6	474.6	312.2	-	0.2	0.0	1.0	00:00:25:662	-	-	-	-	-	-	-	-
1351010.6	18:02:08:688	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Visual Intake	81	2.9	466.9	370.5	486.9	314.7	-	0.2	0.0	1.0	00:00:25:662	-	-	-	-	-	-	-	-
1351044.4	18:02:08:722	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Visual Intake	81	3.0	466.5	370.9	487.4	313.2	-	0.2	0.0	1.0	00:00:25:703	-	-	-	-	-	-	-	-
1351077.9	18:02:08:755	Trial001	Iselin-3-recording.avi	25394.0	85513.0	Iselin	Coral	98.0	Eye	Visual Intake	81	2.9	464.5	370.3	486.0	313.5	-	0.2	0.0	1.0	00:00:25:745	-	-	-	-	-	-	-	-
