RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
104178.3	18:02:22:232	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	120	2.7	571.6	380.6	618.7	254.9	-	0.1	0.0	1.0	00:00:39:200	-	-	-	-	-	-	-	-
104211.8	18:02:22:266	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	120	2.7	566.7	378.8	613.6	252.5	-	0.1	0.0	1.0	00:00:39:242	-	-	-	-	-	-	-	-
104244.8	18:02:22:299	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	120	2.7	559.9	377.6	606.7	249.1	-	0.1	0.0	1.0	00:00:39:284	-	-	-	-	-	-	-	-
104278.2	18:02:22:332	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	120	2.7	553.8	375.9	599.9	244.9	-	0.1	0.0	1.0	00:00:39:325	-	-	-	-	-	-	-	-
104312.1	18:02:22:366	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Saccade	115	2.7	548.3	373.8	594.6	242.1	-	0.1	0.0	1.0	00:00:39:367	-	-	-	-	-	-	-	-
104344.7	18:02:22:399	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Saccade	115	2.8	542.1	370.5	589.3	236.1	-	0.1	0.0	1.0	00:00:39:409	-	-	-	-	-	-	-	-
104378.1	18:02:22:432	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Saccade	115	2.8	542.9	365.4	590.1	230.8	-	0.1	0.0	1.0	00:00:39:409	-	-	-	-	-	-	-	-
104411.2	18:02:22:465	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Saccade	115	2.8	561.5	361.1	610.2	229.8	-	0.1	0.0	1.0	00:00:39:450	-	-	-	-	-	-	-	-
104444.7	18:02:22:499	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	121	2.8	563.6	358.7	611.7	228.5	-	0.1	0.0	1.0	00:00:39:492	-	-	-	-	-	-	-	-
104477.6	18:02:22:531	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	121	2.8	564.1	355.7	611.4	228.3	-	0.1	0.0	1.0	00:00:39:534	-	-	-	-	-	-	-	-
104511.0	18:02:22:565	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Saccade	116	2.8	559.3	356.6	607.2	226.4	-	0.1	0.0	1.0	00:00:39:534	-	-	-	-	-	-	-	-
104544.4	18:02:22:598	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Saccade	116	2.8	594.8	356.8	642.4	230.7	-	0.1	0.0	1.0	00:00:39:575	-	-	-	-	-	-	-	-
104577.5	18:02:22:631	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	122	2.8	603.3	360.0	653.9	229.9	-	0.1	0.0	1.0	00:00:39:617	-	-	-	-	-	-	-	-
104610.7	18:02:22:664	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	122	2.8	603.2	357.4	653.7	227.7	-	0.1	0.0	1.0	00:00:39:659	-	-	-	-	-	-	-	-
104643.9	18:02:22:698	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	122	2.8	606.0	353.4	657.1	226.6	-	0.1	0.0	1.0	00:00:39:659	-	-	-	-	-	-	-	-
104677.4	18:02:22:731	Trial001	Zak-1-recording.avi	39219.0	114565.0	Zak	Coral	98.3	Eye	Visual Intake	122	2.8	609.6	352.6	661.4	227.0	-	0.1	0.0	1.0	00:00:39:742	-	-	-	-	-	-	-	-
