RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
88505.9	18:02:06:560	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	69	2.5	643.9	384.8	679.0	244.9	-	0.0	0.0	1.0	00:00:23:578	-	-	-	-	-	-	-	-
88539.3	18:02:06:593	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	69	2.5	640.7	384.3	676.2	244.8	-	0.0	0.0	1.0	00:00:23:578	-	-	-	-	-	-	-	-
88572.0	18:02:06:626	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	69	2.5	640.1	383.1	675.8	242.7	-	0.0	0.0	1.0	00:00:23:620	-	-	-	-	-	-	-	-
88605.0	18:02:06:659	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	69	2.5	640.8	382.5	676.9	242.5	-	0.0	0.0	1.0	00:00:23:662	-	-	-	-	-	-	-	-
88638.4	18:02:06:692	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	69	2.5	642.4	381.1	678.9	241.0	-	0.0	0.0	1.0	00:00:23:703	-	-	-	-	-	-	-	-
88671.8	18:02:06:726	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	69	2.5	641.8	380.9	679.7	239.0	-	0.0	0.0	1.0	00:00:23:703	-	-	-	-	-	-	-	-
88705.2	18:02:06:759	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	65	2.4	691.6	388.9	726.6	251.7	-	0.0	0.0	1.0	00:00:23:745	-	-	-	-	-	-	-	-
88738.2	18:02:06:792	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	65	2.5	828.0	414.5	830.1	267.4	-	-0.1	0.0	1.0	00:00:23:787	-	-	-	-	-	-	-	-
88771.5	18:02:06:825	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	70	2.5	798.7	400.5	831.6	265.0	-	-0.1	0.0	1.0	00:00:23:828	-	-	-	-	-	-	-	-
88804.8	18:02:06:859	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	70	2.5	800.3	398.9	832.4	263.1	-	-0.1	0.0	1.0	00:00:23:870	-	-	-	-	-	-	-	-
88838.1	18:02:06:892	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	70	2.5	801.0	400.1	834.5	264.4	-	-0.1	0.0	1.0	00:00:23:870	-	-	-	-	-	-	-	-
88871.5	18:02:06:925	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	66	2.5	802.0	396.8	836.3	261.8	-	-0.1	0.0	1.0	00:00:23:912	-	-	-	-	-	-	-	-
88904.6	18:02:06:958	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	66	2.5	801.6	396.5	835.4	263.0	-	-0.1	0.0	1.0	00:00:23:953	-	-	-	-	-	-	-	-
88937.9	18:02:06:992	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	66	2.5	777.7	390.8	815.6	252.7	-	-0.1	0.0	1.0	00:00:23:995	-	-	-	-	-	-	-	-
88971.2	18:02:07:025	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	71	2.5	779.4	387.0	817.7	252.9	-	-0.1	0.0	1.0	00:00:24:037	-	-	-	-	-	-	-	-
89004.5	18:02:07:058	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	71	2.5	779.1	386.6	817.5	251.7	-	-0.1	0.0	1.0	00:00:24:037	-	-	-	-	-	-	-	-
89037.6	18:02:07:091	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	67	2.5	779.3	384.2	817.9	250.8	-	-0.1	0.0	1.0	00:00:24:078	-	-	-	-	-	-	-	-
89071.7	18:02:07:125	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	67	2.5	829.9	355.7	866.2	223.3	-	-0.1	0.0	1.0	00:00:24:120	-	-	-	-	-	-	-	-
89104.8	18:02:07:159	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	67	2.5	834.2	347.4	869.4	213.0	-	-0.1	0.0	1.0	00:00:24:120	-	-	-	-	-	-	-	-
89137.6	18:02:07:191	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	72	2.5	837.0	343.0	873.0	209.0	-	-0.1	0.0	1.0	00:00:24:162	-	-	-	-	-	-	-	-
89170.8	18:02:07:225	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	72	2.4	837.7	341.9	873.4	206.4	-	-0.1	0.0	1.0	00:00:24:203	-	-	-	-	-	-	-	-
89204.1	18:02:07:258	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	72	2.4	837.4	341.3	873.1	207.3	-	-0.1	0.0	1.0	00:00:24:245	-	-	-	-	-	-	-	-
89237.3	18:02:07:291	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	72	2.5	838.7	340.4	875.0	205.4	-	-0.1	0.0	1.0	00:00:24:287	-	-	-	-	-	-	-	-
89270.9	18:02:07:325	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	68	2.4	840.1	329.6	875.6	192.7	-	-0.1	0.0	1.0	00:00:24:328	-	-	-	-	-	-	-	-
89303.8	18:02:07:358	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Saccade	68	2.4	842.5	304.5	874.0	164.2	-	-0.1	0.1	1.0	00:00:24:370	-	-	-	-	-	-	-	-
89337.5	18:02:07:391	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	842.9	303.4	875.8	161.2	-	-0.1	0.1	1.0	00:00:24:370	-	-	-	-	-	-	-	-
89370.8	18:02:07:425	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	842.6	302.1	875.5	160.7	-	-0.1	0.1	1.0	00:00:24:412	-	-	-	-	-	-	-	-
89404.0	18:02:07:458	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	843.1	301.3	875.8	157.9	-	-0.1	0.1	1.0	00:00:24:453	-	-	-	-	-	-	-	-
89437.0	18:02:07:491	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	843.9	298.0	878.2	155.6	-	-0.1	0.1	1.0	00:00:24:495	-	-	-	-	-	-	-	-
89470.2	18:02:07:524	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	843.6	295.0	878.4	150.0	-	-0.1	0.1	1.0	00:00:24:537	-	-	-	-	-	-	-	-
89503.9	18:02:07:558	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	843.4	293.7	877.9	148.6	-	-0.1	0.1	1.0	00:00:24:537	-	-	-	-	-	-	-	-
89536.9	18:02:07:591	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	843.0	292.5	878.1	148.1	-	-0.1	0.1	1.0	00:00:24:578	-	-	-	-	-	-	-	-
89570.1	18:02:07:624	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	843.9	293.1	879.1	148.4	-	-0.1	0.1	1.0	00:00:24:620	-	-	-	-	-	-	-	-
89603.4	18:02:07:657	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	842.8	294.2	877.5	149.4	-	-0.1	0.1	1.0	00:00:24:662	-	-	-	-	-	-	-	-
89636.8	18:02:07:691	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	842.5	291.5	878.6	148.5	-	-0.1	0.1	1.0	00:00:24:662	-	-	-	-	-	-	-	-
89670.4	18:02:07:724	Trial001	Zak-1-recording.avi	23526.0	82999.0	Zak	Coral	98.3	Eye	Visual Intake	73	2.4	842.7	293.1	877.5	149.5	-	-0.1	0.1	1.0	00:00:24:703	-	-	-	-	-	-	-	-
