RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
1557751.6	18:02:28:221	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	108	2.9	442.8	497.3	526.9	272.3	-	0.2	-0.1	1.0	00:00:45:259	-	-	-	-	-	-	-	-
1557785.6	18:02:28:255	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	108	2.8	443.9	495.6	527.2	273.1	-	0.2	-0.1	1.0	00:00:45:301	-	-	-	-	-	-	-	-
1557818.8	18:02:28:288	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	97	2.8	446.8	495.6	529.5	274.5	-	0.2	-0.1	1.0	00:00:45:301	-	-	-	-	-	-	-	-
1557852.6	18:02:28:322	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	97	2.8	470.0	491.6	547.6	276.8	-	0.2	-0.1	1.0	00:00:45:342	-	-	-	-	-	-	-	-
1557884.7	18:02:28:354	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	109	2.8	470.2	491.3	547.4	274.9	-	0.2	-0.1	1.0	00:00:45:384	-	-	-	-	-	-	-	-
1557918.0	18:02:28:387	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	109	2.8	469.8	489.9	547.0	273.4	-	0.2	-0.1	1.0	00:00:45:426	-	-	-	-	-	-	-	-
1557951.3	18:02:28:421	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	109	2.8	471.1	488.7	547.8	272.9	-	0.2	-0.1	1.0	00:00:45:426	-	-	-	-	-	-	-	-
1557985.1	18:02:28:454	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	109	2.8	471.1	488.5	548.0	273.5	-	0.2	-0.1	1.0	00:00:45:467	-	-	-	-	-	-	-	-
1558018.2	18:02:28:488	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	109	2.8	470.1	487.8	547.0	272.4	-	0.2	-0.1	1.0	00:00:45:509	-	-	-	-	-	-	-	-
1558051.2	18:02:28:521	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	98	2.8	472.3	488.9	549.0	274.0	-	0.2	-0.1	1.0	00:00:45:551	-	-	-	-	-	-	-	-
1558084.6	18:02:28:554	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	98	2.8	508.7	482.9	578.4	275.4	-	0.2	-0.1	1.0	00:00:45:592	-	-	-	-	-	-	-	-
1558118.3	18:02:28:588	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	110	2.8	508.5	480.1	578.7	273.0	-	0.2	-0.1	1.0	00:00:45:634	-	-	-	-	-	-	-	-
1558151.4	18:02:28:621	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	110	2.8	507.4	480.2	576.4	272.7	-	0.2	-0.1	1.0	00:00:45:634	-	-	-	-	-	-	-	-
1558184.5	18:02:28:654	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	110	2.8	507.3	479.8	577.0	273.4	-	0.2	-0.1	1.0	00:00:45:676	-	-	-	-	-	-	-	-
1558217.5	18:02:28:687	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	110	2.8	507.6	479.0	576.2	271.7	-	0.2	-0.1	1.0	00:00:45:717	-	-	-	-	-	-	-	-
1558250.9	18:02:28:720	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	110	2.8	505.7	480.1	575.1	272.9	-	0.2	-0.1	1.0	00:00:45:760	-	-	-	-	-	-	-	-
1558284.3	18:02:28:754	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	110	2.8	506.9	479.0	575.9	273.1	-	0.2	-0.1	1.0	00:00:45:760	-	-	-	-	-	-	-	-
1558317.6	18:02:28:787	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	99	2.8	506.6	479.6	576.3	272.9	-	0.2	-0.1	1.0	00:00:45:802	-	-	-	-	-	-	-	-
1558350.9	18:02:28:820	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	99	2.8	530.2	475.2	596.0	274.6	-	0.2	-0.1	1.0	00:00:45:843	-	-	-	-	-	-	-	-
1558383.9	18:02:28:853	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	111	2.8	527.1	475.5	593.1	272.8	-	0.2	-0.1	1.0	00:00:45:843	-	-	-	-	-	-	-	-
1558417.2	18:02:28:887	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	111	2.8	527.2	474.0	592.7	272.2	-	0.2	-0.1	1.0	00:00:45:885	-	-	-	-	-	-	-	-
1558450.4	18:02:28:920	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	111	2.8	527.2	474.4	594.1	271.4	-	0.2	-0.1	1.0	00:00:45:927	-	-	-	-	-	-	-	-
1558483.7	18:02:28:953	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	111	2.8	528.2	472.5	593.9	271.6	-	0.2	-0.1	1.0	00:00:45:968	-	-	-	-	-	-	-	-
1558517.2	18:02:28:987	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	100	2.8	518.8	473.5	586.8	269.6	-	0.2	-0.1	1.0	00:00:46:010	-	-	-	-	-	-	-	-
1558550.3	18:02:29:020	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	100	2.8	509.2	477.0	577.7	270.3	-	0.2	-0.1	1.0	00:00:46:052	-	-	-	-	-	-	-	-
1558583.5	18:02:29:053	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	112	2.8	509.9	476.7	577.3	269.8	-	0.2	-0.1	1.0	00:00:46:093	-	-	-	-	-	-	-	-
1558617.0	18:02:29:086	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	112	2.7	510.6	474.6	578.9	268.7	-	0.2	-0.1	1.0	00:00:46:135	-	-	-	-	-	-	-	-
1558650.3	18:02:29:120	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	112	2.8	509.5	474.7	577.7	269.2	-	0.2	-0.1	1.0	00:00:46:135	-	-	-	-	-	-	-	-
1558683.5	18:02:29:153	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	112	2.8	507.6	475.0	576.9	268.1	-	0.2	-0.1	1.0	00:00:46:177	-	-	-	-	-	-	-	-
1558716.6	18:02:29:186	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	112	2.7	507.5	475.3	577.2	267.9	-	0.2	-0.1	1.0	00:00:46:218	-	-	-	-	-	-	-	-
1558750.0	18:02:29:219	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	101	2.8	508.5	475.0	578.2	269.0	-	0.2	-0.1	1.0	00:00:46:218	-	-	-	-	-	-	-	-
1558783.6	18:02:29:253	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	101	2.7	524.0	470.1	590.5	267.9	-	0.2	-0.1	1.0	00:00:46:260	-	-	-	-	-	-	-	-
1558817.1	18:02:29:286	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	101	2.7	523.1	469.2	588.7	265.9	-	0.2	0.0	1.0	00:00:46:302	-	-	-	-	-	-	-	-
1558849.8	18:02:29:319	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	113	2.7	522.2	471.0	588.8	267.2	-	0.2	-0.1	1.0	00:00:46:343	-	-	-	-	-	-	-	-
1558883.4	18:02:29:353	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	113	2.8	521.1	469.7	587.8	265.4	-	0.2	0.0	1.0	00:00:46:385	-	-	-	-	-	-	-	-
1558916.3	18:02:29:386	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	113	2.8	522.2	469.6	589.1	266.6	-	0.2	0.0	1.0	00:00:46:427	-	-	-	-	-	-	-	-
1558950.0	18:02:29:419	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	113	2.8	521.4	468.7	588.3	265.7	-	0.2	0.0	1.0	00:00:46:468	-	-	-	-	-	-	-	-
1558983.1	18:02:29:452	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	113	2.7	522.4	469.3	588.9	265.7	-	0.2	0.0	1.0	00:00:46:468	-	-	-	-	-	-	-	-
1559016.3	18:02:29:486	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	102	2.7	534.5	468.4	599.5	267.4	-	0.2	0.0	1.0	00:00:46:510	-	-	-	-	-	-	-	-
1559049.3	18:02:29:519	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	102	2.7	549.9	463.5	611.4	266.7	-	0.1	0.0	1.0	00:00:46:552	-	-	-	-	-	-	-	-
1559082.7	18:02:29:552	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	114	2.7	549.1	464.3	610.1	267.1	-	0.1	0.0	1.0	00:00:46:593	-	-	-	-	-	-	-	-
1559116.1	18:02:29:585	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	114	2.7	549.1	463.4	610.6	266.3	-	0.1	0.0	1.0	00:00:46:593	-	-	-	-	-	-	-	-
1559149.2	18:02:29:619	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	114	2.7	548.9	463.4	610.7	265.1	-	0.1	0.0	1.0	00:00:46:635	-	-	-	-	-	-	-	-
1559182.4	18:02:29:652	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	114	2.7	548.3	464.5	609.1	267.3	-	0.1	0.0	1.0	00:00:46:677	-	-	-	-	-	-	-	-
1559215.8	18:02:29:685	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	103	2.7	547.9	462.6	609.8	265.6	-	0.1	0.0	1.0	00:00:46:677	-	-	-	-	-	-	-	-
1559249.1	18:02:29:718	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	103	2.7	547.7	462.8	609.1	265.6	-	0.1	0.0	1.0	00:00:46:718	-	-	-	-	-	-	-	-
1559282.3	18:02:29:752	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	103	2.7	576.5	457.7	633.5	268.2	-	0.1	0.0	1.0	00:00:46:760	-	-	-	-	-	-	-	-
1559315.6	18:02:29:785	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	103	2.7	578.2	456.4	633.9	267.2	-	0.1	0.0	1.0	00:00:46:802	-	-	-	-	-	-	-	-
1559349.2	18:02:29:819	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	115	2.7	579.4	452.1	635.9	262.5	-	0.1	0.0	1.0	00:00:46:843	-	-	-	-	-	-	-	-
1559382.1	18:02:29:851	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	115	2.7	579.8	452.6	635.8	264.6	-	0.1	0.0	1.0	00:00:46:885	-	-	-	-	-	-	-	-
1559415.5	18:02:29:885	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	115	2.7	580.7	450.5	637.2	263.0	-	0.1	0.0	1.0	00:00:46:927	-	-	-	-	-	-	-	-
1559449.4	18:02:29:919	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	115	2.7	580.5	450.3	636.5	262.4	-	0.1	0.0	1.0	00:00:46:927	-	-	-	-	-	-	-	-
1559482.2	18:02:29:952	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	104	2.7	581.1	450.8	636.5	262.7	-	0.1	0.0	1.0	00:00:46:968	-	-	-	-	-	-	-	-
1559515.2	18:02:29:985	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	104	2.7	589.9	449.0	643.5	264.0	-	0.1	0.0	1.0	00:00:47:010	-	-	-	-	-	-	-	-
1559548.6	18:02:30:018	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	591.5	448.3	645.4	262.2	-	0.1	0.0	1.0	00:00:47:052	-	-	-	-	-	-	-	-
1559582.4	18:02:30:052	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	590.7	447.2	644.1	261.3	-	0.1	0.0	1.0	00:00:47:093	-	-	-	-	-	-	-	-
1559615.0	18:02:30:084	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	590.3	447.1	643.9	261.2	-	0.1	0.0	1.0	00:00:47:093	-	-	-	-	-	-	-	-
1559648.6	18:02:30:118	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	587.8	447.0	642.5	261.4	-	0.1	0.0	1.0	00:00:47:135	-	-	-	-	-	-	-	-
1559681.6	18:02:30:151	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	586.0	445.7	640.5	258.3	-	0.1	0.0	1.0	00:00:47:177	-	-	-	-	-	-	-	-
1559714.8	18:02:30:184	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	583.7	446.5	638.8	260.3	-	0.1	0.0	1.0	00:00:47:218	-	-	-	-	-	-	-	-
1559748.2	18:02:30:218	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	579.1	446.0	634.5	258.6	-	0.1	0.0	1.0	00:00:47:260	-	-	-	-	-	-	-	-
1559781.9	18:02:30:251	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	580.1	445.8	635.8	258.3	-	0.1	0.0	1.0	00:00:47:260	-	-	-	-	-	-	-	-
1559815.0	18:02:30:284	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	579.2	445.3	634.4	257.6	-	0.1	0.0	1.0	00:00:47:302	-	-	-	-	-	-	-	-
1559848.4	18:02:30:318	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	579.1	443.6	634.5	255.8	-	0.1	0.0	1.0	00:00:47:343	-	-	-	-	-	-	-	-
1559881.3	18:02:30:351	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	116	2.7	580.8	442.3	635.6	255.1	-	0.1	0.0	1.0	00:00:47:385	-	-	-	-	-	-	-	-
1559914.8	18:02:30:384	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	105	2.6	594.7	440.5	648.2	258.5	-	0.1	0.0	1.0	00:00:47:385	-	-	-	-	-	-	-	-
1559948.0	18:02:30:417	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Saccade	105	2.7	633.8	433.0	678.4	257.8	-	0.1	0.0	1.0	00:00:47:427	-	-	-	-	-	-	-	-
1559981.7	18:02:30:451	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	117	2.7	632.4	432.4	677.6	256.7	-	0.1	0.0	1.0	00:00:47:468	-	-	-	-	-	-	-	-
1560014.3	18:02:30:484	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	117	2.7	631.6	432.3	676.5	256.7	-	0.1	0.0	1.0	00:00:47:510	-	-	-	-	-	-	-	-
1560047.7	18:02:30:517	Trial001	Hoshika-1-recording.avi	45194.0	225673.0	Hoshika	Coral	99.6	Eye	Visual Intake	117	2.6	633.0	430.9	678.4	257.7	-	0.1	0.0	1.0	00:00:47:510	-	-	-	-	-	-	-	-
