RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
578089.3	18:01:53:215	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	45	2.8	634.4	286.3	736.3	169.4	-	0.1	0.1	1.0	00:00:10:203	-	-	-	-	-	-	-	-
578122.5	18:01:53:249	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Saccade	46	2.8	633.9	287.8	736.4	169.9	-	0.1	0.1	1.0	00:00:10:245	-	-	-	-	-	-	-	-
578155.7	18:01:53:282	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Saccade	46	2.8	653.6	285.9	754.0	168.8	-	0.0	0.1	1.0	00:00:10:287	-	-	-	-	-	-	-	-
578189.4	18:01:53:316	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	46	2.8	668.5	289.0	769.8	174.7	-	0.0	0.1	1.0	00:00:10:328	-	-	-	-	-	-	-	-
578222.6	18:01:53:349	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	46	2.8	669.2	287.6	770.4	171.4	-	0.0	0.1	1.0	00:00:10:328	-	-	-	-	-	-	-	-
578255.9	18:01:53:382	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	46	2.8	671.1	286.3	772.7	170.9	-	0.0	0.1	1.0	00:00:10:370	-	-	-	-	-	-	-	-
578288.8	18:01:53:415	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	46	2.8	673.8	285.7	775.2	170.6	-	0.0	0.1	1.0	00:00:10:412	-	-	-	-	-	-	-	-
578322.2	18:01:53:448	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	46	2.8	673.1	283.7	774.5	167.9	-	0.0	0.1	1.0	00:00:10:453	-	-	-	-	-	-	-	-
578355.8	18:01:53:482	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	46	2.8	674.7	285.9	776.0	172.7	-	0.0	0.1	1.0	00:00:10:453	-	-	-	-	-	-	-	-
578388.6	18:01:53:515	Trial001	Participant 1-1-recording.avi	10185.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	46	2.8	674.8	283.3	777.9	166.4	-	0.0	0.1	1.0	00:00:10:495	-	-	-	-	-	-	-	-
