RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
618319.9	18:02:33:446	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	201	2.7	682.3	168.8	790.6	52.6	-	0.0	0.2	1.0	00:00:50:393	-	-	-	-	-	-	-	-
618352.3	18:02:33:478	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	201	2.8	681.1	169.5	791.4	52.6	-	0.0	0.2	1.0	00:00:50:434	-	-	-	-	-	-	-	-
618385.7	18:02:33:512	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	201	2.8	681.1	167.8	790.9	51.7	-	0.0	0.2	1.0	00:00:50:476	-	-	-	-	-	-	-	-
618419.3	18:02:33:545	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Saccade	206	2.8	689.0	168.9	799.2	55.5	-	0.0	0.2	1.0	00:00:50:518	-	-	-	-	-	-	-	-
618452.3	18:02:33:578	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Saccade	206	2.9	700.6	170.4	808.2	58.4	-	0.0	0.2	1.0	00:00:50:518	-	-	-	-	-	-	-	-
618485.6	18:02:33:612	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.7	703.1	170.1	814.2	56.0	-	0.0	0.2	1.0	00:00:50:559	-	-	-	-	-	-	-	-
618519.1	18:02:33:645	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.9	702.3	169.5	810.4	57.5	-	0.0	0.2	1.0	00:00:50:601	-	-	-	-	-	-	-	-
618552.1	18:02:33:678	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.8	703.5	168.6	813.0	56.5	-	0.0	0.2	1.0	00:00:50:601	-	-	-	-	-	-	-	-
618585.5	18:02:33:712	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.8	703.1	171.3	812.1	61.4	-	0.0	0.2	1.0	00:00:50:643	-	-	-	-	-	-	-	-
618618.8	18:02:33:745	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.8	700.2	172.1	809.3	61.4	-	0.0	0.2	1.0	00:00:50:684	-	-	-	-	-	-	-	-
618652.1	18:02:33:778	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.8	702.6	172.7	811.4	61.0	-	0.0	0.2	1.0	00:00:50:726	-	-	-	-	-	-	-	-
618685.5	18:02:33:812	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.8	703.7	171.6	813.1	59.6	-	0.0	0.2	1.0	00:00:50:768	-	-	-	-	-	-	-	-
618718.5	18:02:33:845	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.8	704.6	172.7	814.0	62.3	-	0.0	0.2	1.0	00:00:50:809	-	-	-	-	-	-	-	-
618751.8	18:02:33:878	Trial001	Participant 1-1-recording.avi	50430.0	58764.1	Participant 1	Coral	100.0	Eye	Visual Intake	202	2.8	704.7	172.3	812.1	60.3	-	0.0	0.2	1.0	00:00:50:809	-	-	-	-	-	-	-	-
