// Data mode  : Full
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2016/09/08 02:27:06.34,253,6038,-15212,-350,152,-89,123,240,-117,-181
,2,2016/09/08 02:27:06.35,240,6089,-15167,-350,170,-124,127,240,-113,-183
,3,2016/09/08 02:27:06.36,328,6090,-15187,-364,153,-145,121,241,-120,-181
,4,2016/09/08 02:27:06.37,287,6083,-15186,-369,185,-162,122,242,-120,-182
,5,2016/09/08 02:27:06.38,301,5995,-15161,-379,190,-159,134,255,-121,-194
,6,2016/09/08 02:27:06.39,320,5983,-15209,-411,178,-157,124,244,-120,-184
,7,2016/09/08 02:27:06.40,333,5971,-15174,-427,152,-164,126,241,-115,-183
,8,2016/09/08 02:27:06.41,221,5962,-15167,-437,174,-111,131,250,-119,-190
,9,2016/09/08 02:27:06.42,254,5959,-15188,-423,189,-88,125,246,-121,-185
,10,2016/09/08 02:27:06.43,261,5946,-15153,-394,197,-62,134,249,-115,-191
,11,2016/09/08 02:27:06.44,372,5966,-15142,-396,203,-52,135,249,-114,-192
,12,2016/09/08 02:27:06.45,365,6018,-15204,-377,214,-28,133,247,-114,-190
,13,2016/09/08 02:27:06.46,274,6024,-15170,-374,225,-33,129,248,-119,-188
,14,2016/09/08 02:27:06.47,313,6035,-15144,-364,213,-26,133,251,-118,-192
,15,2016/09/08 02:27:06.48,358,6003,-15166,-349,207,-40,131,251,-120,-191
,16,2016/09/08 02:27:06.49,372,6070,-15202,-357,186,-36,128,246,-118,-187
,17,2016/09/08 02:27:06.50,358,5988,-15216,-342,186,-42,139,251,-112,-195
,18,2016/09/08 02:27:06.51,350,6058,-15200,-358,139,-59,132,245,-113,-188
,19,2016/09/08 02:27:06.52,287,6013,-15239,-389,123,-57,131,239,-108,-185
,20,2016/09/08 02:27:06.53,359,5977,-15204,-387,93,-31,141,249,-108,-195
,21,2016/09/08 02:27:06.54,419,5979,-15170,-406,85,-37,138,244,-106,-191
,22,2016/09/08 02:27:06.55,301,5986,-15176,-427,81,-17,143,251,-108,-197
,23,2016/09/08 02:27:06.56,386,6015,-15201,-411,71,-3,148,257,-109,-202
,24,2016/09/08 02:27:06.57,353,5997,-15203,-391,89,11,141,246,-105,-193
,25,2016/09/08 02:27:06.58,246,5997,-15181,-406,72,46,143,249,-106,-196
,26,2016/09/08 02:27:06.59,305,6000,-15248,-389,62,60,142,249,-107,-195
,27,2016/09/08 02:27:06.60,307,5981,-15180,-369,50,59,137,244,-107,-190
,28,2016/09/08 02:27:06.61,308,6010,-15175,-384,54,68,139,244,-105,-191
,29,2016/09/08 02:27:06.62,380,6022,-15162,-371,70,68,141,250,-109,-195
,30,2016/09/08 02:27:06.63,331,6007,-15160,-363,86,59,139,250,-111,-194
,31,2016/09/08 02:27:06.64,320,6041,-15182,-404,81,48,134,246,-112,-190
,32,2016/09/08 02:27:06.65,275,6020,-15238,-409,82,21,140,252,-112,-196
,33,2016/09/08 02:27:06.66,300,6003,-15153,-411,73,22,135,248,-113,-191
,34,2016/09/08 02:27:06.67,346,6061,-15208,-448,56,27,136,245,-109,-190
,35,2016/09/08 02:27:06.68,272,6009,-15185,-443,70,17,145,255,-110,-200
,36,2016/09/08 02:27:06.69,325,6000,-15149,-440,80,6,137,240,-103,-188
,37,2016/09/08 02:27:06.70,345,6019,-15119,-413,66,15,138,243,-105,-190
,38,2016/09/08 02:27:06.71,359,5994,-15094,-393,87,11,140,252,-112,-196
,39,2016/09/08 02:27:06.72,352,6068,-15103,-383,102,19,138,245,-107,-191
,40,2016/09/08 02:27:06.73,369,6042,-15096,-367,143,7,141,248,-107,-194
,41,2016/09/08 02:27:06.74,301,6033,-15176,-385,170,-18,138,246,-108,-192
,42,2016/09/08 02:27:06.75,265,6060,-15245,-395,167,-38,136,240,-104,-188
,43,2016/09/08 02:27:06.76,414,6042,-15212,-387,126,-25,139,242,-103,-190
,44,2016/09/08 02:27:06.77,342,6033,-15182,-355,78,-13,142,250,-108,-196
,45,2016/09/08 02:27:06.78,382,6118,-15169,-380,63,-37,144,249,-105,-196
,46,2016/09/08 02:27:06.79,386,6087,-15143,-424,75,-34,138,240,-102,-189
,47,2016/09/08 02:27:06.80,332,6075,-15119,-403,102,-68,140,243,-103,-191
,48,2016/09/08 02:27:06.81,399,6079,-15049,-413,150,-89,136,240,-104,-188
,49,2016/09/08 02:27:06.82,420,6060,-15135,-448,177,-78,131,237,-106,-184
,50,2016/09/08 02:27:06.83,401,6092,-15193,-453,197,-85,140,247,-107,-193
,51,2016/09/08 02:27:06.84,304,6091,-15273,-477,186,-99,131,240,-109,-185
,52,2016/09/08 02:27:06.85,372,6059,-15220,-494,176,-100,136,242,-106,-189
,53,2016/09/08 02:27:06.86,322,6066,-15254,-453,172,-94,137,246,-109,-191
,54,2016/09/08 02:27:06.87,317,6110,-15287,-462,135,-98,130,230,-100,-180
,55,2016/09/08 02:27:06.88,382,6038,-15188,-454,71,-73,132,232,-100,-182
,56,2016/09/08 02:27:06.89,359,6048,-15166,-421,59,-49,135,233,-98,-184
,57,2016/09/08 02:27:06.90,366,6030,-15162,-416,20,-33,133,232,-99,-182
,58,2016/09/08 02:27:06.91,332,6047,-15168,-393,3,-4,135,239,-104,-187
,59,2016/09/08 02:27:06.92,375,5976,-15068,-403,-16,38,135,241,-106,-188
,60,2016/09/08 02:27:06.93,386,6000,-15096,-397,-51,67,130,236,-106,-183
,61,2016/09/08 02:27:06.94,314,5984,-15128,-417,-41,81,124,233,-109,-178
,62,2016/09/08 02:27:06.95,309,6026,-15144,-425,-29,129,127,239,-112,-183
,63,2016/09/08 02:27:06.96,354,6046,-15174,-427,-33,119,119,236,-117,-177
,64,2016/09/08 02:27:06.97,304,6112,-15140,-449,-51,147,115,229,-114,-172
,65,2016/09/08 02:27:06.98,317,6036,-15189,-451,-64,131,123,245,-122,-184
,66,2016/09/08 02:27:06.99,273,6140,-15246,-448,-63,153,114,234,-120,-174
,67,2016/09/08 02:27:07.00,360,6203,-15128,-476,-92,143,114,230,-116,-172
,68,2016/09/08 02:27:07.01,277,6146,-15142,-510,-70,131,116,232,-116,-174
,69,2016/09/08 02:27:07.02,247,6113,-15160,-522,-87,131,115,224,-109,-169
,70,2016/09/08 02:27:07.03,305,6113,-15208,-534,-101,124,122,231,-109,-176
,71,2016/09/08 02:27:07.04,323,6015,-15179,-507,-126,114,124,237,-113,-180
,72,2016/09/08 02:27:07.05,285,6063,-15079,-456,-152,128,119,231,-112,-175
,73,2016/09/08 02:27:07.06,295,6121,-14982,-453,-117,135,120,234,-114,-177
,74,2016/09/08 02:27:07.07,323,6170,-14992,-486,-55,127,126,236,-110,-181
,75,2016/09/08 02:27:07.08,278,6147,-15095,-463,-7,100,129,233,-104,-181
,76,2016/09/08 02:27:07.09,290,6142,-15114,-469,-3,91,122,228,-106,-175
,77,2016/09/08 02:27:07.10,281,6105,-15160,-460,23,85,126,236,-110,-181
,78,2016/09/08 02:27:07.11,303,6109,-15196,-443,15,60,116,230,-114,-173
