// Data mode  : Full
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2016/09/09 05:06:33.24,-712,6791,-14795,-388,60,-77,-580,-600,20,590
,2,2016/09/09 05:06:33.25,-760,6788,-14752,-380,43,-80,-515,-530,15,522
,3,2016/09/09 05:06:33.26,-762,6773,-14779,-394,57,-72,-626,-646,20,636
,4,2016/09/09 05:06:33.27,-699,6802,-14792,-388,52,-63,-541,-563,22,552
,5,2016/09/09 05:06:33.28,-763,6763,-14815,-385,42,-51,-556,-575,19,565
,6,2016/09/09 05:06:33.29,-837,6794,-14788,-396,32,-43,-579,-606,27,592
,7,2016/09/09 05:06:33.30,-782,6779,-14788,-395,33,-29,-504,-526,22,515
,8,2016/09/09 05:06:33.31,-737,6780,-14766,-383,39,-8,-613,-638,25,625
,9,2016/09/09 05:06:33.32,-745,6783,-14750,-368,39,7,-542,-564,22,553
,10,2016/09/09 05:06:33.33,-821,6779,-14796,-343,25,2,-570,-593,23,581
,11,2016/09/09 05:06:33.34,-771,6835,-14782,-365,30,2,-592,-620,28,606
,12,2016/09/09 05:06:33.35,-786,6809,-14835,-357,12,7,-513,-533,20,523
,13,2016/09/09 05:06:33.36,-779,6855,-14784,-363,29,3,-615,-637,22,626
,14,2016/09/09 05:06:33.37,-702,6812,-14777,-351,36,-17,-528,-551,23,539
,15,2016/09/09 05:06:33.38,-797,6782,-14795,-348,25,-9,-556,-574,18,565
,16,2016/09/09 05:06:33.39,-767,6817,-14827,-333,39,-24,-599,-624,25,611
,17,2016/09/09 05:06:33.40,-732,6830,-14841,-333,33,-49,-531,-550,19,540
,18,2016/09/09 05:06:33.41,-746,6807,-14869,-311,15,-35,-620,-641,21,630
,19,2016/09/09 05:06:33.42,-837,6740,-14816,-303,21,-50,-531,-549,18,540
,20,2016/09/09 05:06:33.43,-735,6829,-14745,-299,34,-44,-557,-573,16,565
,21,2016/09/09 05:06:33.44,-787,6768,-14844,-311,39,-39,-604,-626,22,615
,22,2016/09/09 05:06:33.45,-805,6741,-14818,-331,29,-9,-538,-555,17,546
,23,2016/09/09 05:06:33.46,-824,6709,-14759,-307,39,-36,-637,-659,22,648
,24,2016/09/09 05:06:33.47,-916,6686,-14802,-289,46,-34,-545,-566,21,555
,25,2016/09/09 05:06:33.48,-783,6697,-14867,-298,21,-38,-566,-583,17,574
,26,2016/09/09 05:06:33.49,-820,6735,-14805,-299,37,-37,-604,-631,27,617
,27,2016/09/09 05:06:33.50,-853,6695,-14770,-308,38,-32,-531,-553,22,542
,28,2016/09/09 05:06:33.51,-796,6791,-14767,-351,73,-48,-629,-653,24,641
,29,2016/09/09 05:06:33.52,-842,6768,-14827,-412,110,-31,-550,-568,18,559
,30,2016/09/09 05:06:33.53,-806,6775,-14825,-406,112,-37,-576,-592,16,584
,31,2016/09/09 05:06:33.54,-831,6781,-14807,-409,118,-6,-612,-632,20,622
,32,2016/09/09 05:06:33.55,-821,6756,-14756,-406,116,3,-535,-548,13,541
,33,2016/09/09 05:06:33.56,-772,6776,-14769,-383,123,13,-636,-653,17,644
,34,2016/09/09 05:06:33.57,-834,6789,-14804,-377,111,4,-565,-581,16,573
,35,2016/09/09 05:06:33.58,-835,6845,-14742,-361,112,-8,-588,-602,14,595
,36,2016/09/09 05:06:33.59,-746,6832,-14753,-344,97,-35,-615,-635,20,625
,37,2016/09/09 05:06:33.60,-746,6803,-14789,-358,95,-36,-541,-554,13,547
,38,2016/09/09 05:06:33.61,-767,6779,-14808,-356,104,-52,-646,-662,16,654
,39,2016/09/09 05:06:33.62,-776,6779,-14810,-349,83,-36,-583,-596,13,589
,40,2016/09/09 05:06:33.63,-832,6747,-14797,-334,78,-42,-616,-627,11,621
,41,2016/09/09 05:06:33.64,-788,6752,-14764,-331,77,-36,-652,-668,16,660
,42,2016/09/09 05:06:33.65,-763,6767,-14773,-330,73,-55,-569,-577,8,573
,43,2016/09/09 05:06:33.66,-797,6789,-14788,-329,88,-31,-659,-672,13,665
,44,2016/09/09 05:06:33.67,-747,6771,-14838,-352,89,-50,-585,-597,12,591
,45,2016/09/09 05:06:33.68,-735,6788,-14849,-342,129,-63,-598,-612,14,605
,46,2016/09/09 05:06:33.69,-817,6737,-14880,-372,128,-55,-635,-652,17,643
,47,2016/09/09 05:06:33.70,-750,6753,-14823,-358,141,-41,-559,-568,9,563
,48,2016/09/09 05:06:33.71,-724,6782,-14802,-372,112,-27,-676,-687,11,681
,49,2016/09/09 05:06:33.72,-721,6808,-14870,-384,106,-17,-611,-620,9,615
,50,2016/09/09 05:06:33.73,-783,6744,-14793,-393,104,-38,-627,-636,9,631
,51,2016/09/09 05:06:33.74,-771,6723,-14870,-355,105,-35,-667,-683,16,675
,52,2016/09/09 05:06:33.75,-757,6680,-14848,-353,89,-3,-592,-602,10,597
,53,2016/09/09 05:06:33.76,-787,6729,-14787,-318,55,-25,-678,-692,14,685
,54,2016/09/09 05:06:33.77,-736,6773,-14717,-310,68,-22,-592,-606,14,599
,55,2016/09/09 05:06:33.78,-839,6699,-14764,-311,95,-8,-598,-610,12,604
,56,2016/09/09 05:06:33.79,-766,6708,-14800,-350,129,-28,-630,-645,15,637
,57,2016/09/09 05:06:33.80,-778,6802,-14792,-368,146,-9,-548,-555,7,551
,58,2016/09/09 05:06:33.81,-647,6727,-14866,-371,157,-15,-630,-643,13,636
,59,2016/09/09 05:06:33.82,-796,6742,-14793,-383,145,-19,-576,-591,15,583
,60,2016/09/09 05:06:33.83,-751,6766,-14864,-396,137,-15,-620,-632,12,626
,61,2016/09/09 05:06:33.84,-722,6767,-14865,-412,125,-27,-675,-693,18,684
,62,2016/09/09 05:06:33.85,-709,6796,-14826,-413,119,-50,-595,-608,13,601
,63,2016/09/09 05:06:33.86,-717,6768,-14801,-435,89,-58,-679,-695,16,687
,64,2016/09/09 05:06:33.87,-784,6781,-14879,-408,95,-51,-602,-619,17,610
,65,2016/09/09 05:06:33.88,-745,6759,-14802,-404,90,-70,-613,-624,11,618
,66,2016/09/09 05:06:33.89,-719,6748,-14797,-393,94,-59,-630,-650,20,640
,67,2016/09/09 05:06:33.90,-756,6780,-14796,-386,89,-42,-538,-554,16,546
