// Data mode  : Full
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2016/11/10 06:39:19.42,-10814,8125,-5525,-3162,-12555,16537,-37,-214,177,125
,2,2016/11/10 06:39:19.43,-10814,8125,-5525,-3162,-12555,16537,-32,-208,176,120
,3,2016/11/10 06:39:19.44,-10814,8125,-5525,-3162,-12555,16537,-28,-207,179,117
,4,2016/11/10 06:39:19.45,-10814,8125,-5525,-3162,-12555,16537,-36,-207,171,121
,5,2016/11/10 06:39:19.46,-10814,8125,-5525,-3162,-12555,16537,-25,-198,173,111
,6,2016/11/10 06:39:19.47,-10814,8125,-5525,-3162,-12555,16537,-33,-207,174,120
,7,2016/11/10 06:39:19.48,-10814,8125,-5525,-3162,-12555,16537,-38,-211,173,124
,8,2016/11/10 06:39:19.49,-10814,8125,-5525,-3162,-12555,16537,-32,-203,171,117
,9,2016/11/10 06:39:19.50,-10814,8125,-5525,-3162,-12555,16537,-46,-215,169,130
,10,2016/11/10 06:39:19.51,-10814,8125,-5525,-3162,-12555,16537,-35,-209,174,122
,11,2016/11/10 06:39:19.52,-10814,8125,-5525,-3162,-12555,16537,-32,-204,172,118
,12,2016/11/10 06:39:19.53,-10814,8125,-5525,-3162,-12555,16537,-40,-216,176,128
,13,2016/11/10 06:39:19.54,-10814,8125,-5525,-3162,-12555,16537,-32,-210,178,121
,14,2016/11/10 06:39:19.55,-10814,8125,-5525,-3162,-12555,16537,-31,-208,177,119
,15,2016/11/10 06:39:19.56,-10814,8125,-5525,-3162,-12555,16537,-32,-214,182,123
,16,2016/11/10 06:39:19.57,-10814,8125,-5525,-3162,-12555,16537,-35,-215,180,125
,17,2016/11/10 06:39:19.58,-10814,8125,-5525,-3162,-12555,16537,-37,-214,177,125
,18,2016/11/10 06:39:19.59,-10814,8125,-5525,-3162,-12555,16537,-44,-221,177,132
,19,2016/11/10 06:39:19.60,-10814,8125,-5525,-3162,-12555,16537,-47,-229,182,138
,20,2016/11/10 06:39:19.61,-10814,8125,-5525,-3162,-12555,16537,-37,-216,179,126
,21,2016/11/10 06:39:19.62,-10814,8125,-5525,-3162,-12555,16537,-37,-217,180,127
,22,2016/11/10 06:39:19.63,-10814,8125,-5525,-3162,-12555,16537,-37,-221,184,129
,23,2016/11/10 06:39:19.64,-10814,8125,-5525,-3162,-12555,16537,-34,-207,173,120
,24,2016/11/10 06:39:19.65,-10814,8125,-5525,-3162,-12555,16537,-40,-215,175,127
,25,2016/11/10 06:39:19.66,-10814,8125,-5525,-3162,-12555,16537,-32,-216,184,124
,26,2016/11/10 06:39:19.67,-10814,8125,-5525,-3162,-12555,16537,-36,-213,177,124
,27,2016/11/10 06:39:19.68,-10814,8125,-5525,-3162,-12555,16537,-40,-223,183,131
,28,2016/11/10 06:39:19.69,-10814,8125,-5525,-3162,-12555,16537,-34,-222,188,128
,29,2016/11/10 06:39:19.70,-10814,8125,-5525,-3162,-12555,16537,-40,-223,183,131
,30,2016/11/10 06:39:19.71,-10814,8125,-5525,-3162,-12555,16537,-36,-225,189,130
,31,2016/11/10 06:39:19.72,-10814,8125,-5525,-3162,-12555,16537,-37,-227,190,132
,32,2016/11/10 06:39:19.73,-10814,8125,-5525,-3162,-12555,16537,-34,-226,192,130
,33,2016/11/10 06:39:19.74,-10814,8125,-5525,-3162,-12555,16537,-27,-229,202,128
,34,2016/11/10 06:39:19.75,-10814,8125,-5525,-3162,-12555,16537,-28,-234,206,131
,35,2016/11/10 06:39:19.76,-10814,8125,-5525,-3162,-12555,16537,-10,-222,212,116
,36,2016/11/10 06:39:19.77,-10814,8125,-5525,-3162,-12555,16537,-14,-229,215,121
,37,2016/11/10 06:39:19.78,-10814,8125,-5525,-3162,-12555,16537,-18,-232,214,125
,38,2016/11/10 06:39:19.79,-10814,8125,-5525,-3162,-12555,16537,-10,-214,204,112
,39,2016/11/10 06:39:19.80,-10814,8125,-5525,-3162,-12555,16537,-19,-225,206,122
,40,2016/11/10 06:39:19.81,-10814,8125,-5525,-3162,-12555,16537,-17,-225,208,121
,41,2016/11/10 06:39:19.82,-10814,8125,-5525,-3162,-12555,16537,-20,-219,199,119
,42,2016/11/10 06:39:19.83,-10814,8125,-5525,-3162,-12555,16537,-24,-223,199,123
,43,2016/11/10 06:39:19.84,-10814,8125,-5525,-3162,-12555,16537,-18,-218,200,118
,44,2016/11/10 06:39:19.85,-10814,8125,-5525,-3162,-12555,16537,-20,-216,196,118
,45,2016/11/10 06:39:19.86,-10814,8125,-5525,-3162,-12555,16537,-19,-221,202,120
,46,2016/11/10 06:39:19.87,-10814,8125,-5525,-3162,-12555,16537,-23,-221,198,122
,47,2016/11/10 06:39:19.88,-10814,8125,-5525,-3162,-12555,16537,-20,-215,195,117
,48,2016/11/10 06:39:19.89,-10814,8125,-5525,-3162,-12555,16537,-18,-219,201,118
