// Data mode  : Full
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2016/11/10 06:41:33.43,-10814,8125,-5525,-3162,-12555,16537,-21,-201,180,111
,2,2016/11/10 06:41:33.44,-10814,8125,-5525,-3162,-12555,16537,-20,-201,181,110
,3,2016/11/10 06:41:33.45,-10814,8125,-5525,-3162,-12555,16537,-34,-207,173,120
,4,2016/11/10 06:41:33.46,-10814,8125,-5525,-3162,-12555,16537,-27,-199,172,113
,5,2016/11/10 06:41:33.47,-10814,8125,-5525,-3162,-12555,16537,-40,-204,164,122
,6,2016/11/10 06:41:33.48,-10814,8125,-5525,-3162,-12555,16537,-46,-209,163,127
,7,2016/11/10 06:41:33.49,-10814,8125,-5525,-3162,-12555,16537,-36,-200,164,118
,8,2016/11/10 06:41:33.50,-10814,8125,-5525,-3162,-12555,16537,-54,-213,159,133
,9,2016/11/10 06:41:33.51,-10814,8125,-5525,-3162,-12555,16537,-52,-212,160,132
,10,2016/11/10 06:41:33.52,-10814,8125,-5525,-3162,-12555,16537,-41,-203,162,122
,11,2016/11/10 06:41:33.53,-10814,8125,-5525,-3162,-12555,16537,-49,-216,167,132
,12,2016/11/10 06:41:33.54,-10814,8125,-5525,-3162,-12555,16537,-43,-213,170,128
,13,2016/11/10 06:41:33.55,-10814,8125,-5525,-3162,-12555,16537,-45,-210,165,127
,14,2016/11/10 06:41:33.56,-10814,8125,-5525,-3162,-12555,16537,-45,-213,168,129
,15,2016/11/10 06:41:33.57,-10814,8125,-5525,-3162,-12555,16537,-46,-207,161,126
,16,2016/11/10 06:41:33.58,-10814,8125,-5525,-3162,-12555,16537,-40,-202,162,121
,17,2016/11/10 06:41:33.59,-10814,8125,-5525,-3162,-12555,16537,-38,-208,170,123
,18,2016/11/10 06:41:33.60,-10814,8125,-5525,-3162,-12555,16537,-44,-217,173,130
,19,2016/11/10 06:41:33.61,-10814,8125,-5525,-3162,-12555,16537,-33,-208,175,120
,20,2016/11/10 06:41:33.62,-10814,8125,-5525,-3162,-12555,16537,-41,-213,172,127
,21,2016/11/10 06:41:33.63,-10814,8125,-5525,-3162,-12555,16537,-43,-210,167,126
,22,2016/11/10 06:41:33.64,-10814,8125,-5525,-3162,-12555,16537,-29,-197,168,113
,23,2016/11/10 06:41:33.65,-10814,8125,-5525,-3162,-12555,16537,-38,-212,174,125
,24,2016/11/10 06:41:33.66,-10814,8125,-5525,-3162,-12555,16537,-33,-206,173,119
,25,2016/11/10 06:41:33.67,-10814,8125,-5525,-3162,-12555,16537,-27,-195,168,111
,26,2016/11/10 06:41:33.68,-10814,8125,-5525,-3162,-12555,16537,-37,-207,170,122
