// Data mode  : Full
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2016/10/14 02:48:36.28,-3203,5746,-15354,-218,-77,41,114,-251,365,68
,2,2016/10/14 02:48:36.29,-3248,5763,-15333,-222,-69,18,191,-198,389,3
,3,2016/10/14 02:48:36.30,-3246,5769,-15238,-251,-55,-6,112,-231,343,59
,4,2016/10/14 02:48:36.31,-3248,5693,-15249,-234,-39,-11,113,-281,394,84
,5,2016/10/14 02:48:36.32,-3345,5749,-15223,-228,-14,-26,127,-242,369,57
,6,2016/10/14 02:48:36.33,-3230,5768,-15255,-228,4,-20,11,-339,350,164
,7,2016/10/14 02:48:36.34,-3237,5767,-15289,-241,51,-39,106,-234,340,64
,8,2016/10/14 02:48:36.35,-3310,5754,-15312,-238,100,-55,68,-223,291,77
,9,2016/10/14 02:48:36.36,-3277,5710,-15341,-214,112,-49,140,-247,387,53
,10,2016/10/14 02:48:36.37,-3326,5774,-15321,-147,91,-82,179,-241,420,31
,11,2016/10/14 02:48:36.38,-3261,5745,-15308,-116,43,-105,85,-382,467,148
,12,2016/10/14 02:48:36.39,-3204,5764,-15259,-112,56,-129,141,-355,496,107
,13,2016/10/14 02:48:36.40,-3325,5700,-15253,-95,62,-151,60,-367,427,153
,14,2016/10/14 02:48:36.41,-3202,5676,-15337,-70,47,-146,55,-391,446,168
,15,2016/10/14 02:48:36.42,-3196,5637,-15349,-45,36,-140,88,-334,422,123
,16,2016/10/14 02:48:36.43,-3273,5623,-15346,-26,49,-127,1,-430,431,214
,17,2016/10/14 02:48:36.44,-3185,5644,-15286,-10,64,-100,102,-377,479,137
,18,2016/10/14 02:48:36.45,-3121,5714,-15369,-32,83,-94,58,-375,433,158
,19,2016/10/14 02:48:36.46,-3272,5694,-15420,-93,59,-45,102,-392,494,145
,20,2016/10/14 02:48:36.47,-3189,5606,-15412,-106,43,-22,134,-348,482,107
,21,2016/10/14 02:48:36.48,-3233,5597,-15345,-67,3,21,17,-462,479,222
,22,2016/10/14 02:48:36.49,-3247,5555,-15329,-37,-41,71,112,-394,506,141
,23,2016/10/14 02:48:36.50,-3326,5586,-15271,-18,-82,110,74,-362,436,144
,24,2016/10/14 02:48:36.51,-3366,5598,-15199,3,-99,166,128,-303,431,87
,25,2016/10/14 02:48:36.52,-3305,5632,-15212,13,-104,191,169,-185,354,8
,26,2016/10/14 02:48:36.53,-3227,5606,-15167,30,-93,215,81,-239,320,79
,27,2016/10/14 02:48:36.54,-3255,5635,-15196,8,-88,260,147,-161,308,7
,28,2016/10/14 02:48:36.55,-3343,5669,-15231,-12,-73,253,68,-190,258,61
,29,2016/10/14 02:48:36.56,-3285,5691,-15220,-16,-69,247,63,-217,280,77
,30,2016/10/14 02:48:36.57,-3216,5700,-15214,-52,-25,226,52,-200,252,74
,31,2016/10/14 02:48:36.58,-3344,5696,-15254,-75,-16,173,-105,-327,222,216
,32,2016/10/14 02:48:36.59,-3284,5768,-15304,-104,4,147,-116,-299,183,207
,33,2016/10/14 02:48:36.60,-3276,5694,-15398,-131,39,90,-193,-326,133,259
,34,2016/10/14 02:48:36.61,-3264,5802,-15388,-137,41,26,-237,-366,129,301
,35,2016/10/14 02:48:36.62,-3228,5880,-15273,-171,53,-31,-195,-323,128,259
,36,2016/10/14 02:48:36.63,-3255,5766,-15297,-173,73,-98,-289,-419,130,354
,37,2016/10/14 02:48:36.64,-3256,5753,-15336,-145,105,-160,-214,-359,145,286
,38,2016/10/14 02:48:36.65,-3329,5638,-15355,-115,98,-185,-222,-355,133,288
,39,2016/10/14 02:48:36.66,-3226,5650,-15253,-102,90,-176,-220,-363,143,291
,40,2016/10/14 02:48:36.67,-3308,5646,-15240,-65,111,-184,-164,-300,136,232
,41,2016/10/14 02:48:36.68,-3249,5585,-15202,-90,150,-159,-265,-392,127,328
,42,2016/10/14 02:48:36.69,-3251,5649,-15192,-104,174,-129,-212,-345,133,278
,43,2016/10/14 02:48:36.70,-3234,5633,-15264,-77,176,-112,-236,-354,118,295
,44,2016/10/14 02:48:36.71,-3312,5501,-15312,-77,146,-64,-241,-384,143,312
,45,2016/10/14 02:48:36.72,-3175,5629,-15331,-80,127,-35,-178,-330,152,254
,46,2016/10/14 02:48:36.73,-3207,5599,-15316,-77,90,22,-266,-418,152,342
,47,2016/10/14 02:48:36.74,-3294,5643,-15245,-125,94,50,-196,-379,183,287
,48,2016/10/14 02:48:36.75,-3236,5680,-15306,-140,52,54,-223,-394,171,308
,49,2016/10/14 02:48:36.76,-3246,5663,-15305,-168,16,60,-246,-433,187,339
,50,2016/10/14 02:48:36.77,-3262,5754,-15307,-176,20,64,-214,-387,173,300
,51,2016/10/14 02:48:36.78,-3194,5783,-15243,-179,46,56,-324,-479,155,401
,52,2016/10/14 02:48:36.79,-3248,5761,-15284,-169,43,27,-244,-415,171,329
,53,2016/10/14 02:48:36.80,-3232,5699,-15271,-179,33,27,-236,-395,159,315
,54,2016/10/14 02:48:36.81,-3344,5816,-15287,-159,56,-16,-216,-400,184,308
,55,2016/10/14 02:48:36.82,-3227,5770,-15240,-155,55,-9,-156,-339,183,247
,56,2016/10/14 02:48:36.83,-3267,5792,-15274,-136,76,5,-254,-426,172,340
,57,2016/10/14 02:48:36.84,-3251,5705,-15256,-114,92,-21,-235,-417,182,326
,58,2016/10/14 02:48:36.85,-3301,5795,-15214,-91,108,-19,-296,-450,154,373
,59,2016/10/14 02:48:36.86,-3290,5777,-15219,-68,129,-42,-343,-502,159,422
,60,2016/10/14 02:48:36.87,-3222,5765,-15255,-50,144,-68,-269,-422,153,345
,61,2016/10/14 02:48:36.88,-3231,5805,-15271,-53,173,-94,-311,-467,156,389
,62,2016/10/14 02:48:36.89,-3189,5784,-15285,-62,166,-111,-229,-396,167,312
,63,2016/10/14 02:48:36.90,-3273,5800,-15262,-48,185,-132,-259,-404,145,331
,64,2016/10/14 02:48:36.91,-3308,5734,-15289,-52,188,-149,-314,-460,146,387
,65,2016/10/14 02:48:36.92,-3259,5676,-15274,-72,171,-167,-292,-424,132,358
,66,2016/10/14 02:48:36.93,-3221,5695,-15283,-73,163,-144,-403,-518,115,460
,67,2016/10/14 02:48:36.94,-3167,5677,-15329,-78,159,-119,-379,-510,131,444
,68,2016/10/14 02:48:36.95,-3117,5656,-15254,-80,144,-114,-389,-508,119,448
,69,2016/10/14 02:48:36.96,-3173,5606,-15265,-94,133,-100,-361,-495,134,428
,70,2016/10/14 02:48:36.97,-3143,5587,-15247,-65,105,-76,-237,-368,131,302
,71,2016/10/14 02:48:36.98,-3218,5604,-15283,-65,91,-26,-269,-400,131,334
,72,2016/10/14 02:48:36.99,-3203,5629,-15350,-71,53,10,-215,-357,142,286
,73,2016/10/14 02:48:37.00,-3168,5622,-15318,-110,55,54,-266,-388,122,327
,74,2016/10/14 02:48:37.01,-3120,5600,-15332,-131,54,84,-293,-432,139,362
,75,2016/10/14 02:48:37.02,-3253,5627,-15329,-108,21,102,-247,-383,136,315
,76,2016/10/14 02:48:37.03,-3228,5681,-15281,-67,-34,143,-339,-468,129,403
,77,2016/10/14 02:48:37.04,-3109,5721,-15274,-51,-53,142,-278,-418,140,348
,78,2016/10/14 02:48:37.05,-3189,5662,-15276,-55,-41,160,-288,-416,128,352
