TimeStamp;GazeX;GazeY;TimeStampWindows
684905282,958432;244,624548656552;123,908361651301;15:53:17.034
684905297,972884;254,036499124358;105,344624452873;15:53:17.043
684905327,837571;264,724273553195;110,888704007248;15:53:17.072
684905358,72563;293,372742898413;112,063059565772;15:53:17.104
684905372,983137;280,486006940841;107,405922834231;15:53:17.118
684905388,119898;272,988209008624;128,690667375004;15:53:17.133
684905402,230721;257,874069601536;124,162409871984;15:53:17.147
684905417,973466;221,226099712371;134,267286793161;15:53:17.163
684905433,218423;216,58089825516;136,891312585732;15:53:17.178
684905447,479779;210,543111519618;132,404568897174;15:53:17.193
684905463,235354;207,325845996329;133,003302834523;15:53:17.208
684905477,976536;201,581927417146;124,829832362448;15:53:17.223
684905509,136582;183,788382921382;111,779258694494;15:53:17.254
684905522,909132;178,934296675063;113,322642461692;15:53:17.268
684905537,328292;162,490290681933;104,80209588592;15:53:17.282
684905552,989783;165,095331332777;104,745698911621;15:53:17.298
684905567,906303;202,025668038388;107,747647180697;15:53:17.313
684905582,460601;287,475159128772;119,867554482059;15:53:17.328
684905598,153311;310,059964012311;122,274463197691;15:53:17.345
684905613,072825;372,671841531342;97,7111196621181;15:53:17.358
684905627,217004;372,00678913198;99,0057569156781;15:53:17.372
684905659,312326;367,546215140064;100,821125141845;15:53:17.404
684905672,281317;370,734481893382;104,840993402257;15:53:17.417
684905688,567608;384,751854819133;99,4941950971208;15:53:17.433
684905703,76424;364,608861425153;43,2786368716806;15:53:17.448
684905717,441851;374,908108552533;65,3651359105037;15:53:17.462
684905733,308187;383,164477256068;68,2954382938783;15:53:17.478
684905748,273888;381,187347883075;66,0103047248981;15:53:17.494
684905762,444154;385,951774547993;74,7148389577058;15:53:17.508
684905778,112487;382,374340631755;73,2982927899301;15:53:17.523
684905808,716157;384,913594726749;114,96207339283;15:53:17.554
684905823,212295;378,098548886033;99,4006177122975;15:53:17.568
684905838,10786;366,283155473111;89,597851479838;15:53:17.583
684905852,566364;367,166512325345;86,6576813535073;15:53:17.598
684905868,031562;366,661433550295;89,9649918603109;15:53:17.613
684905882,833044;348,943313461576;70,1640634362837;15:53:17.627
684905897,339873;346,753755184619;66,5804720212063;15:53:17.642
684905913,179695;360,096005118822;76,1585982041334;15:53:17.658
684905928,221517;363,693593276063;74,5469212913749;15:53:17.673
684905959,123689;419,135485333327;106,260671305112;15:53:17.704
684905973,110492;433,000021129139;95,9686015252767;15:53:17.717
684905987,815752;450,659889088705;92,8234961138809;15:53:17.733
684906003,596558;463,143431973218;80,4751941504936;15:53:17.749
684906018,538737;464,765469785177;60,5773139460629;15:53:17.764
684906033,383411;469,062700229184;41,9203339849;15:53:17.778
684906048,557806;475,328518525106;42,2692379595575;15:53:17.794
684906063,405902;475,334286326467;49,3284163443033;15:53:17.808
684906078,104319;476,252802991479;53,2312632760676;15:53:17.823
684906109,577407;456,254969712159;43,2256464334027;15:53:17.857
684906122,647751;452,461926948791;39,8002655796965;15:53:17.868
684906138,125779;462,391165048685;48,184056450157;15:53:17.883
684906153,396823;469,39544900688;57,035059095457;15:53:17.898
684906167,575215;463,304391212636;56,0052900421873;15:53:17.912
684906183,344046;491,260784033244;57,7450199057898;15:53:17.928
684906198,084801;502,379184800306;71,7820009502364;15:53:17.942
