RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
950505.9	13:28:56:636	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Information	Separator	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6cfda2130a35959e480d1e2c2f142c60_1680x1050.jpg
950507.5	13:28:56:638	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	193.7	770.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950507.5	13:28:56:638	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	193.7	770.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950510.4	13:28:56:640	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	192.8	772.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950514.4	13:28:56:644	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	193.3	774.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950518.4	13:28:56:648	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	193.4	777.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950522.4	13:28:56:652	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	192.8	779.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950526.4	13:28:56:656	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	192.7	782.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950530.4	13:28:56:660	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	193.0	786.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950534.4	13:28:56:664	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	192.3	789.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950538.4	13:28:56:668	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	191.8	790.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950543.3	13:28:56:673	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	191.9	792.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950546.4	13:28:56:676	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	193.2	793.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950550.4	13:28:56:680	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	194.2	794.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950554.4	13:28:56:684	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	194.2	795.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950558.4	13:28:56:688	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	194.7	795.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950562.4	13:28:56:692	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	195.1	793.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950566.4	13:28:56:696	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	195.6	791.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950570.4	13:28:56:700	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	197.6	788.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950574.4	13:28:56:704	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	198.2	785.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950578.4	13:28:56:708	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	199.4	784.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950582.4	13:28:56:712	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	200.5	781.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950586.4	13:28:56:716	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	202.1	776.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950590.4	13:28:56:720	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	202.6	773.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950594.4	13:28:56:724	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	204.6	769.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950598.4	13:28:56:728	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	205.9	767.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950602.4	13:28:56:732	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	205.5	766.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950606.4	13:28:56:736	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	205.6	765.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950610.4	13:28:56:740	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	206.3	763.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950614.4	13:28:56:744	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	206.6	763.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950618.4	13:28:56:748	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	207.7	762.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950622.4	13:28:56:752	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	207.7	763.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950626.4	13:28:56:756	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	208.7	764.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950630.4	13:28:56:760	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	209.2	765.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950634.4	13:28:56:764	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	210.5	767.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950638.4	13:28:56:768	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	211.2	770.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950642.4	13:28:56:772	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	208.7	772.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950646.4	13:28:56:776	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	208.1	774.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950650.4	13:28:56:780	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	207.7	777.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950654.4	13:28:56:784	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	206.0	779.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950658.4	13:28:56:788	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	204.7	781.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950662.4	13:28:56:792	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	203.3	784.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950666.4	13:28:56:796	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	200.6	788.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950670.4	13:28:56:800	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	196.4	789.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
