RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
1213092.5	13:33:19:237	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Information	Separator	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3c08a28c41066464943bf616eaab2878_1680x1050.jpg
1213094.3	13:33:19:239	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	112.3	791.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213094.3	13:33:19:239	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	112.3	791.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213097.4	13:33:19:242	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	112.4	792.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213100.4	13:33:19:245	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	113.3	791.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213104.4	13:33:19:249	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	112.2	792.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213108.4	13:33:19:253	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	113.5	791.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213112.4	13:33:19:257	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	113.9	791.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213116.4	13:33:19:261	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	114.8	790.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213120.4	13:33:19:265	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	116.3	789.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213124.4	13:33:19:269	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	118.1	791.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213128.4	13:33:19:273	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	115.0	790.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213132.4	13:33:19:277	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	115.9	788.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213136.4	13:33:19:281	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	115.7	785.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213140.4	13:33:19:285	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	115.3	782.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213144.4	13:33:19:289	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	115.0	781.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213148.4	13:33:19:293	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	114.5	778.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213152.4	13:33:19:297	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	112.8	777.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213156.4	13:33:19:301	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	114.1	773.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213160.4	13:33:19:305	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	113.9	773.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213164.4	13:33:19:309	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	113.4	771.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213168.4	13:33:19:313	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	113.5	769.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213172.4	13:33:19:317	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	114.2	768.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213176.4	13:33:19:321	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	114.6	768.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213180.4	13:33:19:325	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	114.8	768.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213184.4	13:33:19:329	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	116.7	766.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213188.4	13:33:19:333	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	116.5	764.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213192.4	13:33:19:337	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	117.1	763.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213196.4	13:33:19:341	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	118.7	758.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213200.4	13:33:19:345	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	119.6	758.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213204.4	13:33:19:349	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	120.3	754.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213208.4	13:33:19:353	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	122.5	755.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213212.4	13:33:19:357	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	124.2	753.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213216.4	13:33:19:361	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	126.1	751.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213220.4	13:33:19:365	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	128.9	749.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213224.4	13:33:19:369	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	130.8	747.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213228.4	13:33:19:373	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	131.5	747.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213232.4	13:33:19:377	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	135.6	749.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213236.4	13:33:19:381	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	136.2	749.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213240.4	13:33:19:385	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	137.3	749.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213244.4	13:33:19:389	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	138.6	748.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213248.4	13:33:19:393	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	140.2	749.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213252.4	13:33:19:397	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	141.0	747.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213256.4	13:33:19:401	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	141.4	747.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213260.4	13:33:19:405	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	141.4	746.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213264.4	13:33:19:409	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	142.2	745.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213268.4	13:33:19:413	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	142.9	745.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213272.4	13:33:19:417	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	142.7	745.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213276.4	13:33:19:421	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Fixation	1	3.8	142.2	747.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213280.4	13:33:19:425	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	1	3.7	143.8	745.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213284.4	13:33:19:429	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	1	3.7	144.8	750.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213288.4	13:33:19:433	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	1	3.7	146.0	759.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213292.4	13:33:19:437	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	1	3.7	146.5	765.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213296.4	13:33:19:441	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	1	3.7	146.4	774.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213300.4	13:33:19:445	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	1	3.7	148.2	778.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213304.4	13:33:19:449	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	1	3.7	144.9	784.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213308.4	13:33:19:453	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	1	3.7	145.8	783.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213312.4	13:33:19:457	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	143.4	783.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213316.4	13:33:19:461	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	146.9	788.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213320.4	13:33:19:465	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	146.4	792.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213324.4	13:33:19:469	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	146.6	793.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213328.4	13:33:19:473	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	148.4	793.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213332.4	13:33:19:477	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	146.5	794.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213336.4	13:33:19:481	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	147.7	794.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213340.4	13:33:19:485	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	147.5	794.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213344.4	13:33:19:489	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	-	-	3.7	146.6	795.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213348.4	13:33:19:493	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.7	147.8	794.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213352.4	13:33:19:497	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.7	155.1	793.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213356.4	13:33:19:501	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.7	164.4	792.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213360.4	13:33:19:505	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.7	202.5	723.6	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
1213364.4	13:33:19:509	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.8	273.5	775.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1213368.4	13:33:19:513	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.8	354.0	670.7	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
1213372.4	13:33:19:517	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.8	365.9	630.4	White Space	-0.1	0.2	-1.0	-	-	-	-	-	-	-	-
1213376.4	13:33:19:521	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.8	428.6	633.4	White Space	-0.1	0.2	-1.0	-	-	-	-	-	-	-	-
1213380.4	13:33:19:525	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.8	438.5	559.9	White Space	-0.1	0.2	-1.0	-	-	-	-	-	-	-	-
1213384.4	13:33:19:529	Trial001	PandaAmerica_screenshot.png	0.0	64728.8	Flo5	Coral	90.3	Eye	Saccade	2	3.8	450.7	508.6	White Space	-0.1	0.3	-1.0	-	-	-	-	-	-	-	-
