RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
1370950.3	13:35:57:103	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Information	Separator	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43b8586ac9a77e636a24be10092ccfe0_1680x1050.jpg
1370951.4	13:35:57:104	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	159.8	793.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370951.4	13:35:57:104	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	159.8	793.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370955.4	13:35:57:108	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	164.0	789.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370959.4	13:35:57:112	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	168.3	787.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370963.3	13:35:57:116	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	170.4	786.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370967.4	13:35:57:120	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	173.5	785.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370971.4	13:35:57:124	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	173.8	784.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370975.4	13:35:57:128	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	176.8	784.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370979.4	13:35:57:132	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	179.3	784.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370983.4	13:35:57:136	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	179.8	786.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370987.4	13:35:57:140	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	180.6	786.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370991.4	13:35:57:144	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	182.4	787.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370995.4	13:35:57:148	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	182.8	789.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
1370999.4	13:35:57:152	Trial001	StudySoda_screenshot.png	0.0	68071.8	Flo6	Coral	87.0	Eye	Fixation	1	3.2	183.5	791.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
