RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
4961882.2	10:35:57:916	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Information	Separator	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42a7627970fed3e9ca7da818fff926b1_1680x1050.jpg
4961882.2	10:35:57:916	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.1	176.0	790.5	White Space	-0.3	0.1	-1.0	-	-	-	-	-	-	-	-
4961884.8	10:35:57:919	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.1	176.2	791.5	White Space	-0.3	0.1	-1.0	-	-	-	-	-	-	-	-
4961888.8	10:35:57:923	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.1	175.9	792.2	White Space	-0.3	0.1	-1.0	-	-	-	-	-	-	-	-
4961892.8	10:35:57:927	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.1	175.9	791.6	White Space	-0.3	0.1	-1.0	-	-	-	-	-	-	-	-
4961896.8	10:35:57:931	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.1	177.3	793.2	White Space	-0.3	0.1	-1.0	-	-	-	-	-	-	-	-
4961900.8	10:35:57:935	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.2	178.0	794.3	White Space	-0.3	0.1	-1.0	-	-	-	-	-	-	-	-
4961904.8	10:35:57:939	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.2	178.8	794.9	White Space	-0.3	0.1	-1.0	-	-	-	-	-	-	-	-
4961908.8	10:35:57:943	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.2	178.6	795.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
4961912.8	10:35:57:947	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.2	180.0	794.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
4961916.8	10:35:57:951	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.2	180.9	792.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
4961920.8	10:35:57:955	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.2	181.5	792.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
4961924.8	10:35:57:959	Trial001	OlderImpossible_screenshot.png	0.0	62222.8	IselinOld	Coral	90.9	Eye	Fixation	1	3.2	182.4	791.2	White Space	-0.3	0.1	-1.0	-	-	-	-	-	-	-	-
