Text; Author; Adaption; Date; Grade Level; Word Count; Lexile; Link; Scenario; Read Word Count
PokemonGo; Washington Post; Newsela staff; 07.14.16; 5; 479; 800L; https://newsela.com/articles/pokemon-go-injuries/id/19400/; None; 479
AlphaGo; Scientific American; Newsela staff; 02.04.16; 5; 643; 840L; https://newsela.com/articles/computer-gogame/id/14628/; None; 643
Esport; Washington Post; Newsela staff; 09.30.15; 3; 425; 570L; https://newsela.com/articles/esports-popular/id/12131/; None; 425
CodingEducation; Chicago Tribune; Newsela staff; 01.26.16; 4; 372; 760L; https://newsela.com/articles/coding-education/id/14452/; None; 372
Youtube; Los Angeles Times; Newsela staff; 12.14.15; 5; 370; 890L; https://newsela.com/articles/youtube-streaming/id/13380/; None; 370 
VirtualReality; Washington Post; Newsela staff; 05.25.16; 5; 411; 860L; https://newsela.com/articles/vr-sports/id/17817/; None; 411 
FightAgainstTechnology; Project Syndicate; Newsela staff; 08.22.16; 5; 485; 900L; https://newsela.com/articles/innovation-discontents/id/20773/; None; 485
ItalyHomeless; The Guardian; Newsela staff; 08.09.16; 5; 238; 910L; https://newsela.com/articles/food-italy-doggy-bag/id/20392/; None; 238 
TripOnMars; Washington Post; Newsela staff; 09.05.16; 5; 470; 850L; https://newsela.com/articles/nasa-mars-hawaii-experiment/id/21228/; None; 470
MacDonald; Associated Press; Newsela staff; 08.25.16; 5; 387; 870L; https://newsela.com/articles/happier-meal-mcdonalds/id/20799/; None; 387
SatellitePoverty; Los Angeles Times; Newsela staff; 08.24.16; 4; 425; 770L; https://newsela.com/articles/poverty-from-space/id/20877/; None; 425
Chimps; Scientific American; Newsela staff; 08.26.16; 5; 392; 860L; https://newsela.com/articles/chimps-reward-cooperation/id/20965/; None; 392 
DogsHumans; Washington Post; Newsela staff; 09.09.16; 5; 415; 860L; https://newsela.com/articles/dog-brain-scan/id/21216/; None; 415
MascotJapan; Washington Post; Newsela staff; 09.09.16; 4; 331; 730L; https://newsela.com/articles/japan-mascots/id/21380/; None; 331
FifthForce; Los Angeles Times; No adaptation; 08.24.16; 5; 293; 810L; https://newsela.com/articles/physicist-fifth-force/id/20779/; None; 293 
GiraffeDNA; Washington Post; Newsela staff; 05.26.16; 4; 472; 770L; https://newsela.com/articles/giraffe-genetics/id/17842/; None; 472
RobotMars; Associated Press; Newsela staff; 05.26.16; 4; 437; 740L; https://newsela.com/articles/nasa-robots/id/17910/; None; 437
SitToMuch; Los Angeles Times; Newsela staff; 03.03.14; 5; 253; 860L; https://newsela.com/articles/sedentary-health/id/2860/; None; 253   
FemalePilot0; Baltimore Sun; Newsela staff; 09.13.16; 4; 161; 630L; https://newsela.com/articles/female-pilot-arlington/id/21473/; Rereading; 322
FemalePilot; Baltimore Sun; Newsela staff; 09.13.16; 4; 161; 630L; https://newsela.com/articles/female-pilot-arlington/id/21473/; Rereading; 322
GrizzlyBear0; East Bay Times; Newsela staff; 09.13.16; 5; 191; 900L; https://newsela.com/articles/grizzly-bear-ca-reintroduction/id/21445/; Rereading; 382
GrizzlyBear; East Bay Times; Newsela staff; 09.13.16; 5; 191; 900L; https://newsela.com/articles/grizzly-bear-ca-reintroduction/id/21445/; Rereading; 279
MayaBook0; Washington Post; Newsela staff; 09.13.16; 5; 161; 850L; https://newsela.com/articles/maya-calendar-oldest-manuscript/id/21489/; Rereading; 322 
